+-----------+----------+-------------+------------------+
|    ODO    |   Econ   |    Model    |    Calculated    |
+-----------+----------+-------------+------------------+
|      1842 |     13.6 | Mazda       |         25544.20 |
|     11580 |      3.5 | Daihatsu    |         41349.00 |
|     11170 |      5.6 | Audi        |         62939.00 |
|     29705 |      6.8 | Volvo       |        202528.00 |
|     50252 |      4.4 | Volvo       |        221642.80 |
|     33576 |      6.6 | Toyota      |        222241.59 |
|     42250 |      5.3 | Mazda       |        224418.00 |
|     19987 |     11.6 | Subaru      |        232475.20 |
|     34028 |      6.9 | Suzuki      |        235444.20 |
|     79807 |      3.0 | Subaru      |        240047.00 |
|     35276 |      7.0 | Honda       |        247422.00 |
|     36371 |      7.3 | Mazda       |        266001.31 |
|     21681 |     12.5 | Suzuki      |        271663.50 |
|     36395 |      7.5 | Subaru      |        273588.50 |
|     72994 |      5.8 | Renault     |        424096.19 |
|    100415 |      4.4 | Audi        |        442213.00 |
|    101321 |      4.6 | Daihatsu    |        466895.59 |
|    135508 |      4.7 | Honda       |        637377.62 |
|    178496 |      3.6 | Subaru      |        643211.62 |
|     88136 |      7.3 | Honda       |        643882.81 |
|    192151 |      3.5 | Subaru      |        673154.50 |
|    177353 |      3.8 | Subaru      |        674567.38 |
|    165054 |      4.9 | Suzuki      |        809415.62 |
|    145843 |      5.7 | Renault     |        832036.12 |
|    205758 |      4.2 | Toyota      |        864823.62 |
|    180737 |      4.9 | Honda       |        886101.31 |
|    182290 |      4.9 | BMW         |        893451.00 |
|    476899 |      4.2 | Toyota      |       2003615.75 |
|    299683 |      6.7 | Honda       |       2008366.12 |
|    330413 |      6.1 | Honda       |       2016009.25 |
|    291718 |      7.0 | Mazda       |       2042519.00 |
|    181822 |     11.4 | Honda       |       2073260.75 |
|    577525 |      3.6 | Lincoln     |       2079809.00 |
|    230976 |      9.1 | Volvo       |       2102415.50 |
|    157069 |     13.4 | Mazda       |       2105217.50 |
|    192372 |     11.1 | AMC         |       2135538.25 |
|    343253 |      6.3 | Mazda       |       2162987.00 |
|    231936 |      9.4 | Toyota      |       2180838.50 |
|    157427 |     14.0 | Daihatsu    |       2204797.00 |
|    168126 |     13.6 | Lincoln     |       2287232.50 |
|    246834 |      9.3 | Volvo       |       2296090.25 |
|    205712 |     11.3 | Audi        |       2324932.50 |
|    267695 |      8.7 | AMC         |       2329155.50 |
|    410268 |      5.7 | AMC         |       2338736.50 |
|    320719 |      7.3 | Volvo       |       2341782.75 |
|    180762 |     13.0 | Toyota      |       2350546.00 |
|    173501 |     13.6 | BMW         |       2359843.50 |
|    389831 |      6.1 | Suzuki      |       2378620.00 |
|    183739 |     13.0 | Citroen     |       2389331.00 |
|    389894 |      6.3 | Lincoln     |       2457051.25 |
|    329725 |      7.5 | Renault     |       2473668.50 |
|    404699 |      6.2 | Mitsubishi  |       2510190.75 |
|    473305 |      5.4 | Audi        |       2556234.00 |
|    200987 |     13.0 | Renault     |       2613562.00 |
|    203569 |     13.0 | Subaru      |       2647023.00 |
|    255307 |     10.5 | Toyota      |       2681363.50 |
|    238390 |     11.3 | Daihatsu    |       2694626.00 |
|    214500 |     12.7 | Audi        |       2724537.00 |
|    198215 |     13.8 | Mitsubishi  |       2736424.00 |
|    253055 |     11.0 | BMW         |       2783835.00 |
|    331523 |      8.4 | BMW         |       2785023.25 |
|    241624 |     11.6 | Volvo       |       2803372.50 |
|    491852 |      5.7 | Audi        |       2803943.50 |
|    436592 |      6.5 | Lincoln     |       2838567.00 |
|    343276 |      8.3 | Audi        |       2849577.75 |
|    309083 |      9.3 | Citroen     |       2875196.00 |
|    400099 |      7.2 | Honda       |       2881202.75 |
|    408949 |      7.1 | Honda       |       2904028.00 |
|    276767 |     10.6 | Audi        |       2934117.25 |
|    261991 |     11.2 | Audi        |       2934686.25 |
|    390526 |     10.5 | Daihatsu    |       4101342.00 |
|    541273 |      7.6 | BMW         |       4113904.75 |
|    427084 |      9.7 | Lincoln     |       4143433.75 |
|    412574 |     10.2 | Lincoln     |       4208974.00 |
|    326699 |     12.9 | Toyota      |       4215057.00 |
|    458925 |      9.3 | Citroen     |       4268726.50 |
|    319862 |     13.6 | AMC         |       4350332.00 |
|    517442 |      8.5 | Suzuki      |       4398908.00 |
|    348112 |     12.8 | Suzuki      |       4456484.50 |
|    501239 |      8.9 | Mazda       |       4461520.00 |
|    454093 |      9.9 | Toyota      |       4496160.50 |
|    343134 |     13.6 | Mazda       |       4667115.50 |
|    449021 |     10.4 | Mitsubishi  |       4670875.50 |
|    431889 |     10.9 | Honda       |       4708080.00 |
|    410987 |     11.5 | Audi        |       4726737.50 |
|    369256 |     12.9 | AMC         |       4763611.50 |
|    554180 |      8.6 | Lincoln     |       4766667.00 |
|    350177 |     13.7 | Suzuki      |       4798076.00 |
|    397755 |     12.1 | Renault     |       4813566.50 |
|    555953 |      8.7 | Mazda       |       4837284.00 |
|    556316 |      8.7 | Mazda       |       4840442.00 |
|    359374 |     13.6 | AMC         |       4887695.50 |
|    496699 |      9.9 | Volvo       |       4917854.00 |
|    370253 |     13.3 | Renault     |       4925096.00 |
|    364530 |     13.7 | Subaru      |       4994687.00 |
|    538935 |     12.2 | Suzuki      |       6575658.00 |
|    537043 |     12.6 | Mitsubishi  |       6767799.00 |
|    572116 |     12.0 | Honda       |       6865882.00 |
|    598054 |     11.6 | Subaru      |       6938052.50 |
|    585238 |     11.9 | Toyota      |       6964972.00 |
+-----------+----------+-------------+------------------+
